pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
KD	Tropical	I	1	10000	0.0068021201413427	8	308	45280	295400
KD	Tropical	I	10001	20000	0.1091385000569022	8	3836	35148	385692
KD	Tropical	I	20001	30000	0.4419891949340182	22	39924	90328	570992
KD	Tropical	I	30001	40000	0.2436590371449609	84	62212	255324	1808796
KD	Tropical	I	40001	50000	0.1009912148144353	49	31544	312344	729736
KD	Tropical	I	50001	60000	0.3466618950202171	142	778812	2246604	779436
KD	Tropical	I	60001	70000	0.2768384466753758	213	1153660	4167268	141332
KD	Tropical	I	70001	80000	0.4018586127300876	258	2064068	5136304	34016
KD	Tropical	I	80001	90000	0.3940235559501572	252	1897660	4816108	554612
KD	Tropical	I	90001	100000	0.4366137121503348	239	1953532	4474280	415480
KD	Tropical	I	100001	110000	0.4164155525863151	277	2256356	5418520	232760
KD	Tropical	I	110001	120000	0.4176751110235858	237	1925788	4610732	218908
KD	Tropical	I	120001	130000	0.4943133643493109	245	2355332	4764856	325304
KD	Tropical	I	130001	140000	0.3624367237855683	191	1383276	3816600	11040
KD	Tropical	I	140001	150000	0.3615082303354787	180	1294788	3581628	25572
KD	Tropical	I	150001	160000	0.3968034211460715	273	2038376	5136992	494248
KD	Tropical	I	160001	170000	0.4574383631676723	237	2032900	4444096	565904
KD	Tropical	I	170001	180000	0.4331088975447204	247	2025484	4676616	313344
KD	Tropical	I	180001	190000	0.4240380081318896	235	1906424	4495880	253600
KD	Tropical	I	190001	200000	0.4664964647972294	207	1787760	3832312	376088
KD	Tropical	I	200001	210000	0.477366210471944	229	2110816	4421796	167364
KD	Tropical	I	210001	220000	0.4463698336273061	222	1872700	4195400	433840
KD	Tropical	I	220001	230000	0.4470822248099311	224	1936576	4331588	157372
KD	Tropical	I	230001	240000	0.4542464909097176	203	1792344	3945752	443008
KD	Tropical	I	240001	250000	0.4391225948593917	274	2283304	5199696	291264
KD	Tropical	I	250001	260000	0.4710929779988527	284	2427544	5153004	538356
KD	Tropical	I	260001	270000	0.4255437874892888	162	1241524	2917500	529380
KD	Tropical	I	270001	280000	0.4302223210209031	256	2152108	5002316	127924
KD	Tropical	I	280001	290000	0.3858332547751665	205	1538916	3988552	199808
KD	Tropical	I	290001	300000	0.4237988756213932	226	1797448	4241276	548284
KD	Tropical	I	300001	310000	0.3789541266202275	221	1650324	4354944	73896
KD	Tropical	I	310001	320000	0.1987145551923808	160	629112	3165908	40492
KD	Tropical	I	320001	330000	0.1595508875346528	170	528340	3311420	95380
KD	Tropical	I	330001	340000	0.297508072393439	209	1219532	4099156	89204
KD	Tropical	I	340001	350000	0.3798849365045955	120	823004	2166456	1560984
KD	Tropical	I	350001	360000	0.4806311978948033	228	2129648	4430940	238380
KD	Tropical	I	360001	370000	0.4472144159663751	232	1968840	4402452	266868
KD	Tropical	I	370001	380000	0.464119811395776	211	1914316	4124616	103824
