pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
Tropical	TH	I	1	10000	0.0784124705158445	18	61168	780080	3217900
Tropical	TH	I	10001	20000	0.2109103869200098	28	189368	897860	4813540
Tropical	TH	I	20001	30000	0.0745785060178969	31	37104	497516	5975404
Tropical	TH	I	30001	40000	0.2446722838821327	76	456948	1867592	15076228
Tropical	TH	I	40001	50000	0.0753033419692491	70	185092	2457952	11249408
Tropical	TH	I	50001	60000	0.1359197295360268	158	3229300	23758876	6321164
Tropical	TH	I	60001	70000	0.1001814180230673	220	4085052	40776544	1107056
Tropical	TH	I	70001	80000	0.1193660654816098	197	4430844	37119796	385064
Tropical	TH	I	80001	90000	0.0907772615636574	233	3582456	39464244	4894296
Tropical	TH	I	90001	100000	0.0962952269910913	177	3196584	33195664	501596
Tropical	TH	I	100001	110000	0.1461794164924121	216	5895120	40327976	794104
Tropical	TH	I	110001	120000	0.0916999390103074	187	3182676	34707504	893556
Tropical	TH	I	120001	130000	0.1309962031744003	189	4626100	35314764	667056
Tropical	TH	I	130001	140000	0.1000724204855434	165	3129004	31267396	145304
Tropical	TH	I	140001	150000	0.1048060443310029	158	3131164	29875796	204244
Tropical	TH	I	150001	160000	0.101406476304829	215	4053876	39976500	955200
Tropical	TH	I	160001	170000	0.1233003099883818	189	4336356	35169060	1003140
Tropical	TH	I	170001	180000	0.1052940396233841	192	3680204	34951684	1601276
Tropical	TH	I	180001	190000	0.1396584943983725	190	4827140	34563884	1608316
Tropical	TH	I	190001	200000	0.1474193559966875	169	4270964	28971528	3202692
Tropical	TH	I	200001	210000	0.1206737742275024	181	4008944	33221336	1237444
Tropical	TH	I	210001	220000	0.1265170061470514	171	3979932	31457684	1097296
Tropical	TH	I	220001	230000	0.1401329707095783	168	4312072	30771288	1212552
Tropical	TH	I	230001	240000	0.1161240545545222	173	3514076	30261396	3055104
Tropical	TH	I	240001	250000	0.1356437707417632	209	5325560	39261368	528052
Tropical	TH	I	250001	260000	0.1716395823799327	231	7346676	42802924	1174856
