[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[TAGS]
1	5032	3312	8349	5032	5038	99.84	15540809	677883	I	ptg000013l
1	5032	49150	44113	5032	5038	99.82	15540809	54753	I	ptg000026l
5032	15751	9225	19947	10720	10723	99.82	15540809	677883	I	ptg000013l
9021	15891	39308	32443	6871	6866	99.68	15540809	54753	I	ptg000026l
10752	15891	10564796	10559666	5140	5131	99.71	15540809	10578930	I	ptg000009l
12810	15891	10564796	10567868	3082	3073	99.58	15540809	10578930	I	ptg000009l
15888	17972	5888	7969	2085	2082	99.66	15540809	5929724	I	ptg000002l
15888	17972	16935	14853	2085	2083	99.71	15540809	5929724	I	ptg000002l
15888	17940	10553188	10555239	2053	2052	99.46	15540809	10578930	I	ptg000009l
15888	17972	9993	7912	2085	2082	99.43	15540809	6333936	I	ptg000010l
15888	17290	11173	12573	1403	1401	99.86	15540809	8930117	I	ptg000014l
15888	17972	9692	7607	2085	2086	99.81	15540809	8002343	I	ptg000015l
15891	17290	10556637	10555241	1400	1397	99.79	15540809	10578930	I	ptg000009l
15891	17282	10571630	10570242	1392	1389	99.78	15540809	10578930	I	ptg000009l
17986	19241	10556038	10557292	1256	1255	99.84	15540809	10578930	I	ptg000009l
17986	19241	10571031	10572285	1256	1255	99.84	15540809	10578930	I	ptg000009l
17986	19241	11776	10521	1256	1256	99.92	15540809	8930117	I	ptg000014l
17986	19241	9086	10344	1256	1259	99.76	15540809	8002343	I	ptg000015l
18569	25262	9964	3264	6694	6701	99.66	15540809	5929724	I	ptg000002l
18569	28732	12857	23030	10164	10174	99.67	15540809	5929724	I	ptg000002l
18569	28731	5914	16083	10163	10170	99.47	15540809	6333936	I	ptg000010l
20594	23027	10555239	10552805	2434	2435	98.69	15540809	10578930	I	ptg000009l
23293	25220	10570244	10568317	1928	1928	99.79	15540809	10578930	I	ptg000009l
23295	25220	10557292	10559217	1926	1926	99.79	15540809	10578930	I	ptg000009l
23295	25220	10572285	10574210	1926	1926	99.79	15540809	10578930	I	ptg000009l
23295	25220	10521	8596	1926	1926	99.90	15540809	8930117	I	ptg000014l
23295	28717	10344	15768	5423	5425	99.87	15540809	8002343	I	ptg000015l
23373	28732	7904081	7898718	5360	5364	99.59	15540809	8001798	I	ptg000004l
23691	28732	1	5046	5042	5046	99.76	15540809	238952	I	ptg000024l
29285	30546	3683657	3682396	1262	1262	99.68	15540809	4054253	I	ptg000003l
29285	30542	1334571	1333314	1258	1258	99.76	15540809	8328357	I	ptg000016l
29286	30542	3937605	3936349	1257	1257	99.84	15540809	5755247	I	ptg000012l
29286	30542	5513436	5514692	1257	1257	99.92	15540809	8930117	I	ptg000014l
29286	30542	8756827	8758083	1257	1257	99.76	15540809	8930117	I	ptg000014l
29287	30543	918549	919805	1257	1257	99.84	15540809	10578930	I	ptg000009l
33983	35275	4601440	4602711	1293	1272	90.61	15540809	7964043	I	ptg000005l
33983	35275	10551207	10549915	1293	1293	98.22	15540809	10578930	I	ptg000009l
34003	35275	13365	14635	1273	1271	98.27	15540809	8930117	I	ptg000014l
34003	35275	1656	382	1273	1275	97.96	15540809	6579423	I	ptg000017l
34003	35275	8182	6911	1273	1272	98.19	15540809	6579423	I	ptg000017l
34003	35275	4533	5806	1273	1274	98.04	15540809	54753	I	ptg000026l
34003	35275	27045	25773	1273	1273	97.96	15540809	54753	I	ptg000026l
34013	35275	11885	10622	1263	1264	98.26	15540809	54753	I	ptg000026l
34013	35275	20564	19301	1263	1264	98.26	15540809	54753	I	ptg000026l
34023	35275	7907846	7906643	1253	1204	87.82	15540809	8001798	I	ptg000004l
34023	35275	7910035	7908831	1253	1205	87.82	15540809	8001798	I	ptg000004l
34023	35275	7912236	7911032	1253	1205	87.82	15540809	8001798	I	ptg000004l
34023	35275	7914984	7913780	1253	1205	87.82	15540809	8001798	I	ptg000004l
34023	35275	13310	14515	1253	1206	87.83	15540809	54753	I	ptg000026l
34023	35275	28476	29680	1253	1205	87.82	15540809	54753	I	ptg000026l
38196	39457	3682396	3683657	1262	1262	99.68	15540809	4054253	I	ptg000003l
38197	39453	217909	219165	1257	1257	100.00	15540809	8001798	I	ptg000004l
38199	39453	3567113	3568367	1255	1255	100.00	15540809	7964043	I	ptg000005l
44776	46059	4553742	4552459	1284	1284	91.23	15540809	6333936	I	ptg000010l
48870	50324	7905586	7904128	1455	1459	92.07	15540809	8001798	I	ptg000004l
48870	50324	4553742	4552288	1455	1455	98.56	15540809	6333936	I	ptg000010l
48870	50189	6085	7398	1320	1314	88.90	15540809	238952	I	ptg000024l
50291	52564	7908861	7906637	2274	2225	91.55	15540809	8001798	I	ptg000004l
50303	52561	7911038	7908828	2259	2211	91.49	15540809	8001798	I	ptg000004l
