[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[TAGS]
1	5032	8580	13614	5032	5035	99.76	15540809	3122771	I	ptg000005l
7219	8639	7896	6475	1421	1422	99.93	15540809	1701683	I	ptg000026l
7421	15771	7896	16247	8351	8352	99.94	15540809	1701683	I	ptg000026l
8570	15829	19872	27131	7260	7260	99.89	15540809	3122771	I	ptg000005l
9174	15888	8529418	8522705	6715	6714	99.55	15540809	8549845	I	ptg000008l
15888	17972	8536063	8538145	2085	2083	99.76	15540809	8549845	I	ptg000008l
15888	17972	12883	10810	2085	2074	98.95	15540809	247448	I	ptg000025l
18569	28670	8540141	8530035	10102	10107	99.76	15540809	8549845	I	ptg000008l
18569	22664	8816	12905	4096	4090	98.98	15540809	247448	I	ptg000025l
18984	21348	9067	11431	2365	2365	99.58	15540809	3974663	I	ptg000017l
25581	28347	39200	41968	2767	2769	99.13	15540809	3122771	I	ptg000005l
29284	30543	4179747	4178488	1260	1260	99.60	15540809	10680403	I	ptg000009l
29286	30542	4157837	4159093	1257	1257	99.76	15540809	8549845	I	ptg000008l
29286	30542	1623162	1624418	1257	1257	99.76	15540809	2886092	I	ptg000011l
29286	30542	1284823	1283567	1257	1257	99.84	15540809	3771942	I	ptg000014l
29286	30546	1296588	1297848	1261	1261	99.68	15540809	3771942	I	ptg000014l
29286	30542	2485329	2484073	1257	1257	99.92	15540809	6476019	I	ptg000015l
29286	30542	311120	309864	1257	1257	100.00	15540809	1750628	I	ptg000016l
29287	30542	1206002	1204747	1256	1256	99.76	15540809	2568508	I	ptg000002l
29287	30542	229095	227840	1256	1256	99.76	15540809	6476019	I	ptg000015l
29288	30543	2298800	2300055	1256	1256	99.92	15540809	10680403	I	ptg000009l
33983	35275	2068974	2067682	1293	1293	98.22	15540809	2092764	I	ptg000018l
33983	35275	2081078	2079786	1293	1293	98.22	15540809	2092764	I	ptg000018l
33983	35275	2082244	2083536	1293	1293	98.22	15540809	2092764	I	ptg000018l
34009	35275	11992	13246	1267	1255	97.00	15540809	3974663	I	ptg000017l
38197	39453	6120639	6121895	1257	1257	100.00	15540809	9715872	I	ptg000001l
38199	39458	4178488	4179747	1260	1260	99.60	15540809	10680403	I	ptg000009l
44776	46107	7737	9069	1332	1333	96.48	15540809	3974663	I	ptg000017l
44776	46059	17261	18548	1284	1288	92.41	15540809	1701683	I	ptg000026l
