CNX	topology	quartet	samples	quartet_id
JU2617	O_CB2CNX_CB1	(PX506,(QG4232,JU2617),QX1410)	PX506,QX1410,QG4232,JU2617	quartet_09
NIC2143	O_CB1CB2_CNX	(PX506,(QX1410,QG4232),NIC2143)	PX506,QX1410,QG4232,NIC2143	quartet_10
NIC2143	O_CB1CNX_CB2	(PX506,(QX1410,NIC2143),QG4232)	PX506,QX1410,QG4232,NIC2143	quartet_10
NIC2143	O_CB2CNX_CB1	(PX506,(QG4232,NIC2143),QX1410)	PX506,QX1410,QG4232,NIC2143	quartet_10
NIC2150	O_CB1CB2_CNX	(PX506,(QX1410,QG4232),NIC2150)	PX506,QX1410,QG4232,NIC2150	quartet_11
NIC2150	O_CB1CNX_CB2	(PX506,(QX1410,NIC2150),QG4232)	PX506,QX1410,QG4232,NIC2150	quartet_11
NIC2150	O_CB2CNX_CB1	(PX506,(QG4232,NIC2150),QX1410)	PX506,QX1410,QG4232,NIC2150	quartet_11
NIC2152	O_CB1CB2_CNX	(PX506,(QX1410,QG4232),NIC2152)	PX506,QX1410,QG4232,NIC2152	quartet_12
NIC2152	O_CB1CNX_CB2	(PX506,(QX1410,NIC2152),QG4232)	PX506,QX1410,QG4232,NIC2152	quartet_12
NIC2152	O_CB2CNX_CB1	(PX506,(QG4232,NIC2152),QX1410)	PX506,QX1410,QG4232,NIC2152	quartet_12
VX151	O_CB1CB2_CNX	(PX506,(QX1410,QG4232),VX151)	PX506,QX1410,QG4232,VX151	quartet_13
VX151	O_CB1CNX_CB2	(PX506,(QX1410,VX151),QG4232)	PX506,QX1410,QG4232,VX151	quartet_13
VX151	O_CB2CNX_CB1	(PX506,(QG4232,VX151),QX1410)	PX506,QX1410,QG4232,VX151	quartet_13
VX153	O_CB1CB2_CNX	(PX506,(QX1410,QG4232),VX153)	PX506,QX1410,QG4232,VX153	quartet_14
VX153	O_CB1CNX_CB2	(PX506,(QX1410,VX153),QG4232)	PX506,QX1410,QG4232,VX153	quartet_14
VX153	O_CB2CNX_CB1	(PX506,(QG4232,VX153),QX1410)	PX506,QX1410,QG4232,VX153	quartet_14
YR106	O_CB1CB2_CNX	(PX506,(QX1410,QG4232),YR106)	PX506,QX1410,QG4232,YR106	quartet_15
YR106	O_CB1CNX_CB2	(PX506,(QX1410,YR106),QG4232)	PX506,QX1410,QG4232,YR106	quartet_15
YR106	O_CB2CNX_CB1	(PX506,(QG4232,YR106),QX1410)	PX506,QX1410,QG4232,YR106	quartet_15
ZF1220	O_CB1CB2_CNX	(PX506,(QX1410,QG4232),ZF1220)	PX506,QX1410,QG4232,ZF1220	quartet_16
ZF1220	O_CB1CNX_CB2	(PX506,(QX1410,ZF1220),QG4232)	PX506,QX1410,QG4232,ZF1220	quartet_16
ZF1220	O_CB2CNX_CB1	(PX506,(QG4232,ZF1220),QX1410)	PX506,QX1410,QG4232,ZF1220	quartet_16
