QX1410	IPR_accession	IPR_description	GO_ID	N2_orthologs
QX1410.9764	IPR024483	Glia associated membrane protein glam-1	-	WBGene00020200
QX1410.684	IPR017998	Chaperone tailless complex polypeptide 1 (TCP-1)	GO:0140662(InterPro)	cct-7
QX1410.684	IPR027413	GroEL-like equatorial domain superfamily	-	cct-7
QX1410.684	IPR027410	TCP-1-like chaperonin intermediate domain superfamily	-	cct-7
QX1410.684	IPR027409	GroEL-like apical domain superfamily	-	cct-7
QX1410.684	IPR012720	T-complex protein 1, eta subunit	GO:0005524(InterPro)|GO:0006457(InterPro)|GO:0016887(InterPro)|GO:0051082(InterPro)	cct-7
QX1410.684	IPR012720	T-complex protein 1, eta subunit	GO:0005524(InterPro)|GO:0006457(InterPro)|GO:0016887(InterPro)|GO:0051082(InterPro)	cct-7
QX1410.684	IPR054827	Thermosome subunit alpha	-	cct-7
QX1410.684	IPR027409	GroEL-like apical domain superfamily	-	cct-7
QX1410.684	IPR027413	GroEL-like equatorial domain superfamily	-	cct-7
QX1410.684	IPR002194	Chaperonin TCP-1, conserved site	GO:0005524(InterPro)|GO:0006457(InterPro)|GO:0016887(InterPro)|GO:0051082(InterPro)	cct-7
QX1410.684	IPR002423	Chaperonin Cpn60/GroEL/TCP-1 family	GO:0005524(InterPro)	cct-7
QX1410.684	IPR053374	TCP-1 chaperonin-containing T-complex	-	cct-7
QX1410.684	IPR017998	Chaperone tailless complex polypeptide 1 (TCP-1)	GO:0140662(InterPro)	cct-7
QX1410.684	IPR017998	Chaperone tailless complex polypeptide 1 (TCP-1)	GO:0140662(InterPro)	cct-7
QX1410.684	IPR017998	Chaperone tailless complex polypeptide 1 (TCP-1)	GO:0140662(InterPro)	cct-7
QX1410.684	IPR017998	Chaperone tailless complex polypeptide 1 (TCP-1)	GO:0140662(InterPro)	cct-7
QX1410.684	IPR017998	Chaperone tailless complex polypeptide 1 (TCP-1)	GO:0140662(InterPro)	cct-7
QX1410.684	IPR027410	TCP-1-like chaperonin intermediate domain superfamily	-	cct-7
QX1410.684	IPR002194	Chaperonin TCP-1, conserved site	GO:0005524(InterPro)|GO:0006457(InterPro)|GO:0016887(InterPro)|GO:0051082(InterPro)	cct-7
QX1410.23143	IPR005071	Transmembrane glycoprotein	GO:0045087(PANTHER)|GO:0045121(PANTHER)	NA
QX1410.23143	IPR005071	Transmembrane glycoprotein	-	NA
QX1410.1205	IPR019343	Protein phosphatase 1 regulatory subunit 21, N-terminal	-	WBGene00018011
QX1410.1205	IPR040024	Protein phosphatase 1 regulatory subunit 21	GO:0005769(PANTHER)|GO:0016020(PANTHER)	WBGene00018011
QX1410.1205	IPR019343	Protein phosphatase 1 regulatory subunit 21, N-terminal	-	WBGene00018011
QX1410.29107	IPR019393	WASH complex, subunit strumpellin	GO:0071203(InterPro)	WBGene00020259
QX1410.29107	IPR019393	WASH complex, subunit strumpellin	GO:0071203(InterPro)	WBGene00020259
QX1410.29107	IPR019393	WASH complex, subunit strumpellin	GO:0071203(InterPro)	WBGene00020259
QX1410.29107	IPR019393	WASH complex, subunit strumpellin	GO:0005768(PANTHER)|GO:0007032(PANTHER)|GO:0030041(PANTHER)|GO:0051125(PANTHER)|GO:0071203(PANTHER)|GO:0071203(InterPro)|GO:0140285(PANTHER)	WBGene00020259
QX1410.23933	IPR000494	Receptor L-domain	-	NA
QX1410.23933	IPR053079	SPS2 domain-containing protein	-	NA
QX1410.23933	IPR036941	Receptor L-domain superfamily	-	NA
QX1410.22442	IPR033121	Peptidase family A1 domain	-	asp-6
QX1410.22442	IPR021109	Aspartic peptidase domain superfamily	-	asp-6
QX1410.22442	IPR034164	Pepsin-like domain	-	asp-6
QX1410.22442	IPR001461	Aspartic peptidase A1	GO:0004190(InterPro)|GO:0006508(InterPro)	asp-6
QX1410.22442	IPR001461	Aspartic peptidase A1	GO:0004190(InterPro)|GO:0006508(InterPro)	asp-6
QX1410.22442	IPR001461	Aspartic peptidase A1	GO:0004190(InterPro)|GO:0006508(InterPro)	asp-6
QX1410.22442	IPR001461	Aspartic peptidase A1	GO:0004190(InterPro)|GO:0006508(InterPro)	asp-6
QX1410.22442	IPR033121	Peptidase family A1 domain	-	asp-6
QX1410.22442	IPR021109	Aspartic peptidase domain superfamily	-	asp-6
QX1410.22442	IPR001461	Aspartic peptidase A1	GO:0004190(InterPro)|GO:0004190(PANTHER)|GO:0005764(PANTHER)|GO:0006508(PANTHER)|GO:0006508(InterPro)|GO:0008219(PANTHER)	asp-6
QX1410.22442	IPR021109	Aspartic peptidase domain superfamily	-	asp-6
QX1410.22442	IPR001969	Aspartic peptidase, active site	GO:0004190(InterPro)|GO:0006508(InterPro)	asp-6
QX1410.381	IPR002542	T20D4.11-like domain	-	NA
QX1410.14347	IPR001972	Stomatin/HflK family	GO:0016020(InterPro)	stl-1
QX1410.14347	IPR001972	Stomatin/HflK family	GO:0016020(InterPro)	stl-1
QX1410.14347	IPR001972	Stomatin/HflK family	GO:0016020(InterPro)	stl-1
QX1410.14347	IPR001972	Stomatin/HflK family	GO:0016020(InterPro)	stl-1
QX1410.14347	IPR001972	Stomatin/HflK family	GO:0016020(InterPro)	stl-1
QX1410.14347	IPR001972	Stomatin/HflK family	GO:0016020(InterPro)	stl-1
QX1410.14347	IPR050710	Band 7/mec-2 domain-containing protein	GO:0005739(PANTHER)|GO:0007005(PANTHER)	stl-1
QX1410.14347	IPR032435	STML2-like, C-terminal extension	-	stl-1
QX1410.14347	IPR036013	Band 7/SPFH domain superfamily	-	stl-1
QX1410.14347	IPR001107	Band 7 domain	-	stl-1
QX1410.14347	IPR036013	Band 7/SPFH domain superfamily	-	stl-1
QX1410.14347	IPR001107	Band 7 domain	-	stl-1
QX1410.6752	IPR010448	Torsin	GO:0005524(InterPro)|GO:0016887(InterPro)|GO:0071218(PANTHER)	NA
QX1410.6752	IPR010448	Torsin	GO:0005524(InterPro)|GO:0016887(InterPro)	NA
QX1410.6752	IPR049337	Torsin-1A, C-terminal domain	-	NA
QX1410.6752	IPR001270	ClpA/B family	GO:0005524(InterPro)	NA
QX1410.6752	IPR001270	ClpA/B family	GO:0005524(InterPro)	NA
QX1410.6752	IPR001270	ClpA/B family	GO:0005524(InterPro)	NA
QX1410.6752	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-	NA
QX1410.6752	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-	NA
QX1410.2900	IPR001128	Cytochrome P450	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)	cyp-33B1
QX1410.2900	IPR050182	Cytochrome P450 family 2	GO:0005737(PANTHER)|GO:0006082(PANTHER)|GO:0006805(PANTHER)|GO:0016712(PANTHER)|GO:0020037(PANTHER)|GO:0043231(PANTHER)	cyp-33B1
QX1410.2900	IPR001128	Cytochrome P450	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)	cyp-33B1
QX1410.2900	IPR001128	Cytochrome P450	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)	cyp-33B1
QX1410.2900	IPR001128	Cytochrome P450	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)	cyp-33B1
QX1410.2900	IPR001128	Cytochrome P450	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)	cyp-33B1
QX1410.2900	IPR002401	Cytochrome P450, E-class, group I	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)	cyp-33B1
QX1410.2900	IPR002401	Cytochrome P450, E-class, group I	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)	cyp-33B1
QX1410.2900	IPR002401	Cytochrome P450, E-class, group I	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)	cyp-33B1
QX1410.2900	IPR002401	Cytochrome P450, E-class, group I	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)	cyp-33B1
QX1410.2900	IPR002401	Cytochrome P450, E-class, group I	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)	cyp-33B1
QX1410.2900	IPR002401	Cytochrome P450, E-class, group I	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)	cyp-33B1
QX1410.2900	IPR002401	Cytochrome P450, E-class, group I	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)	cyp-33B1
