pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
NWD	I	2465	12464	0	142	0	1896	119764
ID	I	2465	12464	NA	0	0	0	65175
Hubei	I	2465	12464	0	94	0	389	25681
Quebec	I	2465	12464	0	120	0	120	4225
TD1	I	2465	12464	0	150	0	83923	6133772
TD2	I	2465	12464	0	75	0	3222	392173
TD3	I	2465	12464	0	80	0	1047	64128
KD	I	2465	12464	0	95	0	2095	823455
AD	I	2465	12464	0	99	0	1027	8758493
Tropical	I	2465	12464	0	313	0	30592466	2148429379
Temperate	I	2465	12464	0	54	0	42094	6649206
TH	I	2465	12464	0	253	0	470711	77543764
NWD	I	12465	22464	0	60	0	1361	73735
ID	I	12465	22464	0	26	0	66	40164
Hubei	I	12465	22464	0	51	0	276	15816
Quebec	I	12465	22464	0	86	0	86	2596
TD1	I	12465	22464	0	91	0	60253	3777689
TD2	I	12465	22464	0	51	0	2822	241240
TD3	I	12465	22464	0	51	0	683	39547
KD	I	12465	22464	0	77	0	1428	508152
AD	I	12465	22464	0	54	0	28933	5377979
Tropical	I	12465	22464	9.8503100062113e-05	128	2440	24770794	1320254888
Temperate	I	12465	22464	0	86	0	34678	4095602
TH	I	12465	22464	0	102	0	591993	47563317
NWD	I	22465	32464	0	12	0	47	93529
ID	I	22465	32464	0	54	0	540	49590
Hubei	I	22465	32464	0	21	0	21	20031
Quebec	I	22465	32464	0	14	0	14	3328
TD1	I	22465	32464	0.052090214211569	60	552	10597	4771805
TD2	I	22465	32464	0	35	0	1125	302997
TD3	I	22465	32464	0	3	0	8	50122
KD	I	22465	32464	0.0075223319228961	48	16	2127	632853
AD	I	22465	32464	0.037433155080214	53	1344	35904	6701568
Tropical	I	22465	32464	0.021982205669357	130	37184	1691550	1674324792
Temperate	I	22465	32464	0.014065247118578	55	216	15357	5131323
TH	I	22465	32464	0.053947738128688	75	1728	32031	59973579
NWD	I	32465	42464	0	51	0	76	82664
ID	I	32465	42464	0	1	0	1	44324
Hubei	I	32465	42464	0	32	0	142	17588
Quebec	I	32465	42464	0	16	0	16	2939
TD1	I	32465	42464	0.00059765718383935	67	20	33464	4195141
TD2	I	32465	42464	0	51	0	166	268739
TD3	I	32465	42464	0	4	0	19	44306
KD	I	32465	42464	0	34	0	137	561313
AD	I	32465	42464	0.024411508282476	21	56	2294	5954986
Tropical	I	32465	42464	0.020019013053473	86	19184	958289	1480977166
Temperate	I	32465	42464	0.0071746081260236	73	368	51292	4499408
TH	I	32465	42464	0.045588856057408	45	108	2369	53054656
NWD	I	42465	52464	NA	0	0	0	46620
ID	I	42465	52464	NA	0	0	0	24975
Hubei	I	42465	52464	NA	0	0	0	9990
Quebec	I	42465	52464	NA	0	0	0	1665
TD1	I	42465	52464	NA	0	0	0	2382615
TD2	I	42465	52464	NA	0	0	0	151515
TD3	I	42465	52464	NA	0	0	0	24975
KD	I	42465	52464	NA	0	0	0	316350
AD	I	42465	52464	NA	0	0	0	3356640
Tropical	I	42465	52464	NA	0	0	0	834999165
Temperate	I	42465	52464	NA	0	0	0	2564100
TH	I	42465	52464	NA	0	0	0	29895075
NWD	I	52465	62464	0.0018327605956472	506	24	13095	201021
ID	I	52465	62464	0.0025894157630685	507	16	6179	108526
Hubei	I	52465	62464	0.0013591573224601	503	4	2943	42939
Quebec	I	52465	62464	0	502	0	502	7145
TD1	I	52465	62464	0.0014324823772493	507	1024	714843	10228014
TD2	I	52465	62464	0	506	0	45162	650715
TD3	I	52465	62464	0.0013937282229965	386	8	5740	108965
KD	I	52465	62464	0.0012230770171598	468	100	81761	1371169
AD	I	52465	62464	0.0011452928796874	472	1028	897587	14518765
Tropical	I	52465	62464	0.0010342164183666	507	253220	244842371	3590135776
Temperate	I	52465	62464	0.00035871281883508	506	216	602153	11174227
TH	I	52465	62464	0.0010897679719581	507	9492	8710111	128591774
NWD	I	62465	72464	0.0022689671472465	756	48	21155	225245
