pop	chromosome	window_pos_1	window_pos_2	avg_watterson_theta	no_sites	raw_watterson_theta	no_var_sites	weighted_no_sites
NWD	I	2465	12464	0	142	0	0	92
ID	I	2465	12464	NA	0	0	0	0
Hubei	I	2465	12464	0	94	0	0	76.5
Quebec	I	2465	12464	0	120	0	0	120
TD1	I	2465	12464	0	150	0	0	89.125
TD2	I	2465	12464	0	75	0	0	57
TD3	I	2465	12464	0	80	0	0	73
KD	I	2465	12464	0	95	0	0	80.75
AD	I	2465	12464	0	99	0	0	81
Tropical	I	2465	12464	0	313	0	0	122.53691275168
Temperate	I	2465	12464	0	54	0	0	39.6
TH	I	2465	12464	0	253	0	0	82.409836065574
NWD	I	12465	22464	0	60	0	0	52.25
ID	I	12465	22464	0	26	0	0	17
Hubei	I	12465	22464	0	51	0	0	48
Quebec	I	12465	22464	0	86	0	0	86
TD1	I	12465	22464	0	91	0	0	55.4
TD2	I	12465	22464	0	51	0	0	45.666666666667
TD3	I	12465	22464	0	51	0	0	47.666666666667
KD	I	12465	22464	0	77	0	0	57
AD	I	12465	22464	0	54	0	0	48.277777777778
Tropical	I	12465	22464	0.0022343354643313	128	0.28599493943441	2	68.498933901919
Temperate	I	12465	22464	0.011627906976744	86	1	1	36.37037037037
TH	I	12465	22464	0	102	0	0	50.3625
NWD	I	22465	32464	0.16666666666667	12	2	2	9.5
ID	I	22465	32464	0	54	0	0	42.666666666667
Hubei	I	22465	32464	0.23809523809524	21	5	5	21
Quebec	I	22465	32464	0	14	0	0	14
TD1	I	22465	32464	0.012421652851046	60	0.74529917106278	3	27.588235294118
TD2	I	22465	32464	0.085714285714286	35	3	3	21.5
TD3	I	22465	32464	0	3	0	0	2
KD	I	22465	32464	0.0080348943985308	48	0.38567493112948	1	21.222222222222
AD	I	22465	32464	0.035917013566266	53	1.9036017190121	7	26.666666666667
Tropical	I	22465	32464	0.005001269426554	130	0.65016502545202	4	60.040816326531
Temperate	I	22465	32464	0.081227231504181	55	4.4674977327299	6	22.714285714286
TH	I	22465	32464	0.0084054204960132	75	0.63040653720099	3	18.942857142857
NWD	I	32465	42464	0	51	0	0	28
ID	I	32465	42464	0	1	0	0	1
Hubei	I	32465	42464	0	32	0	0	27
Quebec	I	32465	42464	0	16	0	0	16
TD1	I	32465	42464	0.031517966549437	67	2.1117037588123	6	42.181818181818
TD2	I	32465	42464	0.051693404634581	51	2.6363636363636	4	37
TD3	I	32465	42464	0	4	0	0	3.5
KD	I	32465	42464	0	34	0	0	9
AD	I	32465	42464	0.060673630633724	21	1.2741462433082	3	6.7777777777778
Tropical	I	32465	42464	0.018690443252461	86	1.6073781197116	7	46.394736842105
Temperate	I	32465	42464	0.012348561333049	73	0.90144497731256	4	46.37037037037
TH	I	32465	42464	0.069011127718439	45	3.1055007473297	5	8.9444444444444
NWD	I	42465	52464	NA	0	0	0	0
ID	I	42465	52464	NA	0	0	0	0
Hubei	I	42465	52464	NA	0	0	0	0
Quebec	I	42465	52464	NA	0	0	0	0
TD1	I	42465	52464	NA	0	0	0	0
TD2	I	42465	52464	NA	0	0	0	0
TD3	I	42465	52464	NA	0	0	0	0
KD	I	42465	52464	NA	0	0	0	0
AD	I	42465	52464	NA	0	0	0	0
Tropical	I	42465	52464	NA	0	0	0	0
Temperate	I	42465	52464	NA	0	0	0	0
TH	I	42465	52464	NA	0	0	0	0
NWD	I	52465	62464	0.003048813684818	506	1.5426997245179	4	483.75
ID	I	52465	62464	0.0025914568306483	507	1.3138686131387	3	446.33333333333
Hubei	I	52465	62464	0.0032532080245798	503	1.6363636363636	3	495.5
Quebec	I	52465	62464	0.0039840637450199	502	2	2	502
TD1	I	52465	62464	0.002597004254343	507	1.3166811569519	6	502.92592592593
TD2	I	52465	62464	0.0012428940020462	506	0.62890436503539	2	499.71428571429
TD3	I	52465	62464	0.0034038046972505	386	1.3138686131387	3	384
KD	I	52465	62464	0.0036553710204302	468	1.7107136375613	6	441.7
AD	I	52465	62464	0.0036005037574186	472	1.6994377735016	8	453.96875
Tropical	I	52465	62464	0.0015856615452437	507	0.80393040343855	6	496.98003992016
Temperate	I	52465	62464	0.001290673544351	506	0.65308081344161	3	405.32142857143
TH	I	52465	62464	0.002714793557359	507	1.376400333581	8	494.85263157895
NWD	I	62465	72464	0.0025507601265177	756	1.9283746556474	5	755.75
ID	I	62465	72464	0.0011586142973004	756	0.87591240875912	2	756
Hubei	I	62465	72464	0.00072150072150072	756	0.54545454545455	1	756
Quebec	I	62465	72464	0.0013227513227513	756	1	1	756
TD1	I	62465	72464	0.0014538154525004	756	1.0990844820903	5	754.44444444444
TD2	I	62465	72464	0.00041594204036732	756	0.31445218251769	1	751.71428571429
TD3	I	62465	72464	0.0028965357432511	756	2.1897810218978	5	740.66666666667
KD	I	62465	72464	0.0029986128917096	752	2.2549568945656	8	748.8
AD	I	62465	72464	0.0030772940538012	756	2.3264343046737	11	749
Tropical	I	62465	72464	0.0024744015343844	756	1.8706475599946	14	754.18962075848
Temperate	I	62465	72464	0.00058054724733328	756	0.43889371898396	2	747.28571428571
TH	I	62465	72464	0.0015934273418148	756	1.204631070412	7	751.88421052632
NWD	I	72465	82464	0.0015426997245179	250	0.38567493112948	1	249.25
ID	I	72465	82464	0.007007299270073	250	1.7518248175182	4	250
Hubei	I	72465	82464	0.0021818181818182	250	0.54545454545455	1	248
Quebec	I	72465	82464	0	250	0	0	250
TD1	I	72465	82464	0.0017555748759358	250	0.43889371898396	2	249.85185185185
TD2	I	72465	82464	0.0012578087300708	250	0.31445218251769	1	249.57142857143
TD3	I	72465	82464	0.0035036496350365	250	0.87591240875912	2	250
KD	I	72465	82464	0.003417898868462	250	0.85447471711549	3	243.9
AD	I	72465	82464	0.0016919522215809	250	0.42298805539521	2	243.71875
Tropical	I	72465	82464	0.0048095318843701	250	1.2023829710925	9	249.66866267465
