pop	chromosome	window_pos_1	window_pos_2	tajima_d	no_sites	raw_pi	raw_watterson_theta	tajima_d_stdev
NWD	I	1	10000	-0.62180715293632	1867	1.0666666666667	1.2615873398886	0.31347447886611
ID	I	1	10000	NA	172	0	0	0
Hubei	I	1	10000	NA	1350	0	0	0
Quebec	I	1	10000	NA	1562	0	5	0
TD1	I	1	10000	-0.58640776567683	1767	0.7438839649366	1.1792376164956	0.7424077187254
TD2	I	1	10000	-0.3576522565838	1232	1.6888888888889	1.8300697844176	0.39474347758132
TD3	I	1	10000	NA	416	0	0	0
KD	I	1	10000	NA	1418	0	0	0
AD	I	1	10000	-6.6236263782042	1528	0.53333333333333	3.1652289316523	0.39734964625715
Tropical	I	1	10000	-0.74101096311723	3704	0.52524500030318	2.3115155024087	2.4105857956422
Temperate	I	1	10000	NA	451	0	0	0
TH	I	1	10000	-0.089260391755105	2868	1.0168866684823	1.0910536670854	0.83090603956336
NWD	I	10001	20000	-0.071237066990035	1881	2	2.0220385674931	0.30936938344466
ID	I	10001	20000	NA	531	0	1	0
Hubei	I	10001	20000	NA	1279	0	0	0
Quebec	I	10001	20000	NA	1581	0	1	0
TD1	I	10001	20000	-0.31591669384217	2590	0.92106342154974	1.1165203909459	0.61869781877926
TD2	I	10001	20000	-3.0069605257193	1452	0.3030303030303	1.2077330990497	0.30086952864236
TD3	I	10001	20000	-4.738488466137	1193	0	0.87591240875912	0.1848505942388
KD	I	10001	20000	1.4441613300462	1634	0.57142857142857	0.38567493112948	0.12862388462731
AD	I	10001	20000	-0.35595684426309	1878	1.2161475442121	1.5071450552259	0.81750784035707
Tropical	I	10001	20000	-0.65587064301059	3717	0.98993514618959	2.8970545532283	2.9077676022891
Temperate	I	10001	20000	-2.778044244542	1560	0.66666666666667	2.2465390060258	0.56869948794484
TH	I	10001	20000	0.11971357889034	2909	3.4773468642301	3.2400115474575	1.9825262845909
NWD	I	20001	30000	-16.327611861228	460	0	2.0909090909091	0.12805970087238
ID	I	20001	30000	-0.012487677223891	1219	2.4	2.4047777040478	0.38259349293854
Hubei	I	20001	30000	-4.6010682582128	837	3.3333333333333	5.3636363636364	0.44126774834931
Quebec	I	20001	30000	NA	861	0	0	0
TD1	I	20001	30000	0.13632690179713	1740	4.0867127763679	3.900764672417	1.3639868690603
TD2	I	20001	30000	1.9818033255495	725	1.7142857142857	1.1570247933884	0.28118881107578
TD3	I	20001	30000	NA	485	0	0	0
KD	I	20001	30000	-0.78061882597655	1065	3.445621045621	4.4119186055752	1.2378609480053
AD	I	20001	30000	-0.53264821606008	1340	3.1808081897714	4.0019713245639	1.5416612879445
Tropical	I	20001	30000	-0.17390194401256	3151	3.2708163199834	3.8822441226533	3.5159342590539
Temperate	I	20001	30000	-0.86984029568165	1751	2.0488529968912	3.2715559059854	1.4056636777628
TH	I	20001	30000	-0.68693816834884	2172	2.0232062856238	3.1756656350953	1.6776755209884
NWD	I	30001	40000	-95.731458964385	1281	1.3333333333333	18.636363636364	0.18074549881735
ID	I	30001	40000	-6.330479235908	1055	5.0666666666667	10.00796284008	0.78055641433665
Hubei	I	30001	40000	-34.817038909162	1082	2	17.363636363636	0.44126774834931
Quebec	I	30001	40000	NA	517	0	4	0
TD1	I	30001	40000	-0.03363632121467	1987	12.230999481569	12.371360803017	4.1729094139758
TD2	I	30001	40000	-11.546804146967	1181	3.2952380952381	15.95125593419	1.0960623976874
TD3	I	30001	40000	-8.5187540145537	278	0	1.0909090909091	0.12805970087238
KD	I	30001	40000	-1.6864606151565	1404	13.303341103341	18.714664995139	3.2086867864957
AD	I	30001	40000	-2.682184849847	1541	8.3855329616467	21.704975946935	4.9658930054906
Tropical	I	30001	40000	0.18344370237418	2514	16.698401394136	14.532332245942	11.807814169471
Temperate	I	30001	40000	-3.7699271879179	2154	5.3849797699419	21.187494176846	4.191729340967
TH	I	30001	40000	-0.99832104774033	1614	9.9617153974476	15.231251249249	5.2783980301015
NWD	I	40001	50000	-36.624887930066	1407	0.53333333333333	20.801592568016	0.55340126291673
ID	I	40001	50000	-8.604322545531	1379	4.1333333333333	15.900464499005	1.3675836887104
Hubei	I	40001	50000	-3.9757328397295	1344	8	11.818181818182	0.96037182881776
Quebec	I	40001	50000	NA	791	0	1	0
TD1	I	40001	50000	0.13317716242049	1704	16.821418376307	16.297424747785	3.9345606934291
TD2	I	40001	50000	-4.0263627894163	1017	1.3140193140193	3.3457185729624	0.50459915442385
TD3	I	40001	50000	NA	281	0	0	0
KD	I	40001	50000	-0.38400259077618	1583	6.8473456368193	7.5410599825126	1.8065355868853
AD	I	40001	50000	-0.61698593904134	1807	17.843013449348	21.577843520618	6.0533471428423
Tropical	I	40001	50000	0.10061153040495	1908	9.121363589432	8.3669194891644	7.4985848762167
Temperate	I	40001	50000	-1.1445586502146	1446	3.2492579803748	6.3142479770358	2.6778793695599
TH	I	40001	50000	-0.61487025165399	1654	10.015353326372	13.51779973197	5.6962365575125
NWD	I	50001	60000	-0.82668519529907	6325	11.009523809524	12.76847439223	2.1277151117604
ID	I	50001	60000	-0.61694732800516	6231	9.0666666666667	9.8586595885866	1.2837285874643
Hubei	I	50001	60000	-5.0700478259797	6157	4.6666666666667	9.2727272727273	0.90848464632985
Quebec	I	50001	60000	NA	6215	0	15	0
TD1	I	50001	60000	-0.69260465392698	6340	7.7450848028824	10.699084712001	4.2650592836331
TD2	I	50001	60000	-2.4869539608805	6207	4.979353979354	11.005179507056	2.422974298072
TD3	I	50001	60000	-7.0306907795632	5024	2.2666666666667	10.660252156603	1.1938493318941
KD	I	50001	60000	-2.4161553234375	5807	6.5396531573002	17.635254530642	4.5922550035219
AD	I	50001	60000	-1.8942370099606	5879	8.3412679989487	21.103352784357	6.737322055424
Tropical	I	50001	60000	-0.94306863068953	6340	4.0040100241321	14.750208025256	11.394926786258
Temperate	I	50001	60000	-1.2467114517504	6332	2.3508470108819	5.0374134346311	2.1549223920076
TH	I	50001	60000	-0.9003211980801	6339	6.0255016752909	12.400469780795	7.0807708616646
NWD	I	60001	70000	-0.24926071304325	8327	17.285714285714	18.126721763085	3.3740073479818
ID	I	60001	70000	0.95548313174122	8327	18.133333333333	15.766423357664	2.4771865635721
Hubei	I	60001	70000	-7.638427316772	8327	3.3333333333333	10.272727272727	0.90848464632985
Quebec	I	60001	70000	NA	8306	0	17	0
TD1	I	60001	70000	-1.3220922967186	8327	5.1185888966133	8.724721477195	2.7275951834317
TD2	I	60001	70000	-2.4243129536822	8327	4.8351648351648	11.005826388119	2.5453238384846
TD3	I	60001	70000	-5.8671324149846	8327	0.53333333333333	8.7591240875912	1.4020121197962
KD	I	60001	70000	-3.3052465759356	8275	2.9548872180451	19.343372362257	4.9583245206367
AD	I	60001	70000	-2.4614394223082	8309	4.8564503538062	18.404304001122	5.5040369974296
Tropical	I	60001	70000	-1.8087053178163	8327	4.8453342710845	21.116597437958	8.9960830029063
Temperate	I	60001	70000	-1.5958065445228	8327	2.2194641959348	5.7154703038186	2.1907455636669
TH	I	60001	70000	-1.2005223943445	8308	6.9404853907872	14.84411948555	6.5834957615076
NWD	I	70001	80000	-0.6043594322527	8992	14.714285714286	16.584022038567	3.0937488926292
ID	I	70001	80000	0.7907909100779	8992	12.533333333333	11.163901791639	1.7317239288441
Hubei	I	70001	80000	-4.7622733657611	8984	7.3333333333333	13.636363636364	1.3235339130985
Quebec	I	70001	80000	NA	8977	0	14	0
TD1	I	70001	80000	-1.8177269324897	8992	5.4506199189884	12.07327764132	3.6433732723871
TD2	I	70001	80000	-3.3058139100426	8988	1.2307692307692	5.9745914678362	1.4349937310917
TD3	I	70001	80000	-5.4212419655397	8988	1.6	11.386861313869	1.8052802985145
KD	I	70001	80000	-3.5976853751937	8992	3.8315789473684	32.996476346329	8.106572520225
AD	I	70001	80000	-2.6426416189436	8992	5.9075969488889	29.025984952508	8.7482115765891
Tropical	I	70001	80000	-1.9624973756171	8992	3.8534422991151	20.174296957009	8.3163701825394
Temperate	I	70001	80000	-2.295337974919	8992	0.87787125522975	4.5873449891943	1.6160904296002
TH	I	70001	80000	-0.93737486399766	8992	8.1186449640344	13.103857900539	5.3182703398336
NWD	I	80001	90000	-0.84978692245021	7520	10.590476190476	12.605939956968	2.3717283865479
ID	I	80001	90000	1.0904519782289	7514	13.866666666667	11.824817518248	1.8724796590629
Hubei	I	80001	90000	-6.4591890672307	7477	4.6666666666667	12.545454545455	1.2197797272663
Quebec	I	80001	90000	NA	7441	0	30	0
TD1	I	80001	90000	-1.5390835285399	7521	6.0388235926527	11.424187985996	3.4990722033472
TD2	I	80001	90000	-1.9929058277268	7499	5.8021978021978	11.072574765239	2.6445689955418
TD3	I	80001	90000	-5.8423577441353	7488	1.0666666666667	13.576642335766	2.1412546470058
KD	I	80001	90000	-3.9365226674714	6790	1.9157894736842	30.398033028434	7.2353815691465
AD	I	80001	90000	-2.5758774769596	6962	7.7029041761458	32.919111842352	9.7893661060192
Tropical	I	80001	90000	-1.8113158829743	7521	4.6662933076519	23.696363757137	10.506212984914
Temperate	I	80001	90000	-2.3033378601861	7521	1.5554883969978	6.5571069595877	2.1714654411081
TH	I	80001	90000	-1.646298831294	7521	5.1869674262728	14.663884843986	5.7564989038256
NWD	I	90001	100000	-0.64299453046119	7966	10.92380952381	12.446160342643	2.3675952853627
ID	I	90001	100000	-0.25337350985073	7968	10.666666666667	11.07299270073	1.6036642279717
Hubei	I	90001	100000	-4.6710403076506	7961	8.6666666666667	15.818181818182	1.5310326352358
Quebec	I	90001	100000	NA	7943	0	21	0
TD1	I	90001	100000	-1.7588861927597	7963	3.4966845954637	7.9056374956026	2.5066732107444
TD2	I	90001	100000	-1.7937332905273	7961	3.7802197802198	6.6034958328716	1.5739664684608
TD3	I	90001	100000	-5.4349630023503	7961	1.0666666666667	8.3211678832117	1.3347839191192
KD	I	90001	100000	-3.4075877724219	7821	6.435985067564	35.447599322161	8.513827432236
AD	I	90001	100000	-2.8883987276994	7823	8.6690268665467	31.7910536358	8.0051367380535
Tropical	I	90001	100000	-1.8554709425726	7968	3.6220771204155	17.771713775303	7.6259004278824
Temperate	I	90001	100000	-1.7927082680651	7968	2.630513581457	6.8105736252694	2.3317012133403
TH	I	90001	100000	-1.4338222515726	7968	4.5636967598775	10.499614439363	4.1399257634444
NWD	I	100001	110000	-1.9225984762501	8156	11.209523809524	17.512215720577	3.2782153886577
ID	I	100001	110000	0.60542453737116	8156	18.533333333333	16.964830789648	2.5907482218935
Hubei	I	100001	110000	-6.3821314411098	8052	7.3333333333333	19.090909090909	1.8422647458874
Quebec	I	100001	110000	NA	8077	0	30	0
TD1	I	100001	110000	-1.5792221415354	8156	5.9477313905727	11.414937062844	3.4619611316719
TD2	I	100001	110000	-2.7579424657643	8156	4.8783660783661	14.206068887437	3.382123784256
TD3	I	100001	110000	-5.8423577441353	8156	1.0666666666667	13.576642335766	2.1412546470058
KD	I	100001	110000	-3.6309501695936	7872	3.559649122807	35.312544279305	8.7450649756652
AD	I	100001	110000	-2.6516408046982	7855	6.3427216415021	32.454321247071	9.8473366224055
Tropical	I	100001	110000	-1.5721066293238	8156	5.8189373283528	23.795592707228	11.434755787912
Temperate	I	100001	110000	-2.262839879023	8156	2.7812578875652	10.27748455782	3.3127517062726
TH	I	100001	110000	-1.4889862880514	8156	5.2584857406761	12.916337347614	5.1429967276323
NWD	I	110001	120000	-0.10430360011406	7956	11.390476190476	11.622529207134	2.224784344974
ID	I	110001	120000	0.90650053413505	7991	8.5333333333333	7.4452554744526	1.2003058110925
Hubei	I	110001	120000	-7.2633532409948	7930	2	7.0909090909091	0.70090341499236
Quebec	I	110001	120000	NA	7924	0	16	0
TD1	I	110001	120000	-1.7197360011317	7993	3.9999114627306	8.5602777048177	2.6517827382145
TD2	I	110001	120000	-2.0154455772554	7954	3.7802197802198	7.232400197907	1.7128621366141
TD3	I	110001	120000	-6.1256010067787	7947	1.0666666666667	8.007299270073	1.1330533274573
KD	I	110001	120000	-3.8084879641884	7755	3.4526315789474	31.409083371624	7.3405645640879
AD	I	110001	120000	-2.6247473517888	7745	5.2564035182442	26.7972908362	8.206842195031
Tropical	I	110001	120000	-1.6581339855791	7993	4.6187329846558	18.712222743117	8.4996085244215
Temperate	I	110001	120000	-1.4087594242868	7990	1.5457608887599	3.5209419673806	1.402071244081
TH	I	110001	120000	-1.4975834610176	7993	3.7947099709226	10.508845416637	4.4833130309492
NWD	I	120001	130000	-0.91584331357964	7877	10.857142857143	13.112947658402	2.4630903210314
ID	I	120001	130000	0.52079736996441	8078	12.8	11.824817518248	1.8724796590629
Hubei	I	120001	130000	-5.7048898429059	8078	7.3333333333333	16.363636363636	1.5829057666262
Quebec	I	120001	130000	NA	8055	0	23	0
TD1	I	120001	130000	-1.7039915955042	8078	5.5541010147003	11.413086878213	3.4383889445061
TD2	I	120001	130000	-2.4763031224811	8078	4.1318681318681	9.7480176580485	2.2679572121822
TD3	I	120001	130000	-5.5767262917371	8071	1.0666666666667	9.6350364963504	1.5364515634162
KD	I	120001	130000	-3.7963509712476	7774	3.3346092503987	37.304162537223	8.9479485811767
AD	I	120001	130000	-2.476751393518	7820	8.880781169385	35.577929178573	10.779098814301
Tropical	I	120001	130000	-1.4447337337226	8078	5.27676751312	18.342154861466	9.0434569660675
Temperate	I	120001	130000	-2.5105552278209	8078	1.3012987012987	7.2031747529836	2.3508250231992
TH	I	120001	130000	-1.5907083660065	8078	5.9528612766048	14.275866697139	5.2322635615662
NWD	I	130001	140000	-0.64603393735741	8983	10.733333333333	12.220265025839	2.3016309307031
ID	I	130001	140000	0.34152168218314	8983	6.9333333333333	6.5693430656934	1.0657896310218
Hubei	I	130001	140000	-5.239685354485	8983	5.3333333333333	10.909090909091	1.0641397714817
Quebec	I	130001	140000	NA	8978	0	13	0
TD1	I	130001	140000	-1.2524730462136	8983	4.19833534704	7.2529541287174	2.4388698750141
TD2	I	130001	140000	-2.6878821422029	8983	1.4065934065934	4.7501569263251	1.2439397796629
TD3	I	130001	140000	-4.5381375416081	8983	1.6	6.1313868613139	0.99851245577456
KD	I	130001	140000	-3.7302987420223	8983	1.8105263157895	21.140220886553	5.181808725669
AD	I	130001	140000	-2.3176531345764	8983	7.2328497867431	23.696046707027	7.1033912170353
Tropical	I	130001	140000	-2.0003164665798	8983	2.4703833057931	16.835405495623	7.1813747623604
Temperate	I	130001	140000	-1.9108542958352	8983	1.4021599644241	4.3731578947366	1.5548008745554
TH	I	130001	140000	-1.7472972791547	8983	3.2672568629365	9.7980447312386	3.7376512550065
NWD	I	140001	150000	0.085135652608571	9075	13.714285714286	13.498622589532	2.5331705125418
ID	I	140001	150000	0.98016930548489	9075	10.133333333333	8.7591240875912	1.4020121197962
Hubei	I	140001	150000	-5.3564675244865	9075	2	4.3636363636364	0.44126774834931
Quebec	I	140001	150000	NA	8912	0	14	0
TD1	I	140001	150000	-1.7599910134743	9075	3.8518518518519	8.1195338012033	2.4248316705474
TD2	I	140001	150000	-2.2569719487949	9075	1.7975357975358	4.4190176495276	1.1615039581646
TD3	I	140001	150000	-5.2746277336311	9075	0.53333333333333	4.3795620437956	0.72919434407449
KD	I	140001	150000	-3.732920315012	9059	1.5157894736842	19.834678146758	4.9073880841775
AD	I	140001	150000	-2.5369388297881	9060	4.8154761904762	19.104838076908	5.6325212569769
Tropical	I	140001	150000	-1.702313672463	9075	3.8050853554235	15.233473308451	6.7134442599476
Temperate	I	140001	150000	-2.0050883053513	9075	1.7125258240874	5.9046480812167	2.0907419618084
TH	I	140001	150000	-1.4705100329839	9075	4.5815331593284	10.659460093866	4.1332101095594
NWD	I	150001	160000	-0.16525453110693	7722	14.247619047619	14.70792865617	2.785458319768
ID	I	150001	160000	1.1124796720137	7726	14.933333333333	12.700729927007	2.0068711927875
Hubei	I	150001	160000	-6.4591890672307	7714	4.6666666666667	12.545454545455	1.2197797272663
Quebec	I	150001	160000	NA	7682	0	18	0
TD1	I	150001	160000	-1.4634060262085	7737	4.9117487125899	9.5272402700364	3.1539377826703
TD2	I	150001	160000	-2.0736845732586	7711	5.4079254079254	10.724748394161	2.5639497225371
TD3	I	150001	160000	-5.4595440203105	7708	1.6	11.494359654944	1.812305133567
KD	I	150001	160000	-4.3657849321492	7426	5.3432404540764	40.002675221178	7.9388781870295
AD	I	150001	160000	-2.4231950914951	7534	7.3932336416304	29.589143963945	9.1597702554852
Tropical	I	150001	160000	-1.5831439340554	7737	4.1866667402008	22.753580689816	11.727874863566
