pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
NWD	I	1	10000	0.00063286132426232	1867	16	25282	81258
ID	I	1	10000	0	172	0	172	56903
Hubei	I	1	10000	0	1350	0	6655	16175
Quebec	I	1	10000	0	1562	0	1562	2243
TD1	I	1	10000	0.00050339694618962	1767	512	1017090	4427865
TD2	I	1	10000	0.00052035904774294	1232	24	46122	300133
TD3	I	1	10000	0	416	0	5519	51556
KD	I	1	10000	0	1418	0	31345	691605
AD	I	1	10000	0.00081317340922952	1528	8	9838	7661042
Tropical	I	1	10000	9.734152530352e-05	3704	41148	422717847	1485493458
Temperate	I	1	10000	0	451	0	162538	5697162
TH	I	1	10000	0.00024070957330858	2868	1500	6231576	62087199
NWD	I	10001	20000	0.00046674445740957	1881	12	25710	78366
ID	I	10001	20000	0	531	0	1111	54644
Hubei	I	10001	20000	0	1279	0	4944	17358
Quebec	I	10001	20000	0	1581	0	1581	2136
TD1	I	10001	20000	0.00031539458870676	2590	388	1230205	4088822
TD2	I	10001	20000	0.00041421588932151	1452	20	48284	289963
TD3	I	10001	20000	0	1193	0	13532	42223
KD	I	10001	20000	0.00053848483828627	1634	16	29713	676517
AD	I	10001	20000	0.0019288911731021	1878	608	315207	7178265
Tropical	I	10001	20000	4.5235541733245e-05	3717	23680	523482180	1340597037
Temperate	I	10001	20000	6.9617036681217e-06	1560	4	574572	5149608
TH	I	10001	20000	0.00047562099722783	2909	4164	8754870	57983865
NWD	I	20001	30000	0	460	0	4271	83957
ID	I	20001	30000	0.0022927015666794	1219	24	10468	36797
Hubei	I	20001	30000	0.0067181726570373	837	20	2977	15929
Quebec	I	20001	30000	0	861	0	861	2290
TD1	I	20001	30000	0.0035263898183509	1740	880	249547	4259534
TD2	I	20001	30000	0.0026745417061347	725	48	17947	268794
TD3	I	20001	30000	0	485	0	5270	41995
KD	I	20001	30000	0.0027288576698588	1065	216	79154	519536
AD	I	20001	30000	0.0014173818508335	1340	764	539022	5813394
Tropical	I	20001	30000	0.00057826832347777	3151	69800	120705211	1459524440
Temperate	I	20001	30000	0.00046534906633284	1751	384	825187	4027353
TH	I	20001	30000	0.0013221612294768	2172	2780	2102618	54473587
NWD	I	30001	40000	0.0016528925619835	1281	8	4840	65776
