pop	chromosome	window_pos_1	window_pos_2	avg_watterson_theta	no_sites	raw_watterson_theta	no_var_sites	weighted_no_sites
NWD	I	1	10000	0.00067572969463771	1867	1.2615873398886	3	1242.5
ID	I	1	10000	0	172	0	0	172
Hubei	I	1	10000	0	1350	0	0	1205.5
Quebec	I	1	10000	0.0032010243277849	1562	5	5	1562
TD1	I	1	10000	0.0006673670721537	1767	1.1792376164956	5	1158.75
TD2	I	1	10000	0.0014854462535857	1232	1.8300697844176	4	883
TD3	I	1	10000	0	416	0	0	385
KD	I	1	10000	0	1418	0	0	1214.25
AD	I	1	10000	0.0020714849029138	1528	3.1652289316523	6	1027.3333333333
Tropical	I	1	10000	0.00062405926090948	3704	2.3115155024087	15	1640.7215777262
Temperate	I	1	10000	0	451	0	0	150.32
TH	I	1	10000	0.00038042317541332	2868	1.0910536670854	5	1150.2
NWD	I	10001	20000	0.0010749806313095	1881	2.0220385674931	4	1231.5
ID	I	10001	20000	0.0018832391713748	531	1	1	323.5
Hubei	I	10001	20000	0	1279	0	0	1006
Quebec	I	10001	20000	0.00063251106894371	1581	1	1	1581
TD1	I	10001	20000	0.00043108895403315	2590	1.1165203909459	4	1288.36
TD2	I	10001	20000	0.00083177210678351	1452	1.2077330990497	3	913.33333333333
TD3	I	10001	20000	0.00073420989837311	1193	0.87591240875912	2	997.33333333333
KD	I	10001	20000	0.00023603116960188	1634	0.38567493112948	1	1231.25
AD	I	10001	20000	0.00080252665347492	1878	1.5071450552259	6	735.27777777778
Tropical	I	10001	20000	0.00077940665946417	3717	2.8970545532283	18	1696.7420042644
Temperate	I	10001	20000	0.0014400891064268	1560	2.2465390060258	5	590.81481481481
TH	I	10001	20000	0.0011137887753378	2909	3.2400115474575	13	973.275
NWD	I	20001	30000	0.0045454545454545	460	2.0909090909091	3	236.75
ID	I	20001	30000	0.0019727462707529	1219	2.4047777040478	5	856
Hubei	I	20001	30000	0.0064081676984903	837	5.3636363636364	9	632.5
Quebec	I	20001	30000	0	861	0	0	861
TD1	I	20001	30000	0.0022418187772511	1740	3.900764672417	12	545.84210526316
TD2	I	20001	30000	0.0015958962667427	725	1.1570247933884	3	497.4
TD3	I	20001	30000	0	485	0	0	404.66666666667
KD	I	20001	30000	0.0041426465780048	1065	4.4119186055752	13	603.4
AD	I	20001	30000	0.0029865457646	1340	4.0019713245639	13	484.33333333333
Tropical	I	20001	30000	0.0012320673191537	3151	3.8822441226533	22	824.51807228916
Temperate	I	20001	30000	0.0018683928646404	1751	3.2715559059854	11	798.10714285714
TH	I	20001	30000	0.0014620928338376	2172	3.1756656350953	12	310.54320987654
NWD	I	30001	40000	0.014548293236818	1281	18.636363636364	20	478
ID	I	30001	40000	0.0094862207014973	1055	10.00796284008	16	724.66666666667
Hubei	I	30001	40000	0.016047723071753	1082	17.363636363636	21	786
Quebec	I	30001	40000	0.0077369439071567	517	4	4	517
TD1	I	30001	40000	0.0062261503789719	1987	12.371360803017	40	711.73076923077
TD2	I	30001	40000	0.01350656726011	1181	15.95125593419	23	456.71428571429
TD3	I	30001	40000	0.0039241334205363	278	1.0909090909091	2	159.33333333333
KD	I	30001	40000	0.013329533472321	1404	18.714664995139	43	583.2
AD	I	30001	40000	0.014084994125201	1541	21.704975946935	56	670.03333333333
Tropical	I	30001	40000	0.0057805617525624	2514	14.532332245942	80	628.20388349515
Temperate	I	30001	40000	0.0098363482715164	2154	21.187494176846	49	1107.6785714286
TH	I	30001	40000	0.0094369586426574	1614	15.231251249249	45	323.78723404255
NWD	I	40001	50000	0.014784358612662	1407	20.801592568016	25	540.75
ID	I	40001	50000	0.011530431108778	1379	15.900464499005	27	1117.3333333333
Hubei	I	40001	50000	0.00879329004329	1344	11.818181818182	20	1185
Quebec	I	40001	50000	0.0012642225031606	791	1	1	791
TD1	I	40001	50000	0.0095642164012821	1704	16.297424747785	42	698.56
TD2	I	40001	50000	0.003289792107141	1017	3.3457185729624	6	731.28571428571
TD3	I	40001	50000	0	281	0	0	192
KD	I	40001	50000	0.0047637776263504	1583	7.5410599825126	20	1113.9
AD	I	40001	50000	0.011941252640076	1807	21.577843520618	61	1127.21875
Tropical	I	40001	50000	0.0043851779293314	1908	8.3669194891644	49	677.26057906459
Temperate	I	40001	50000	0.0043666998458062	1446	6.3142479770358	24	947.96428571429
TH	I	40001	50000	0.0081727930664873	1654	13.51779973197	48	569.35869565217
NWD	I	50001	60000	0.0020187311292064	6325	12.76847439223	30	5815
ID	I	50001	60000	0.0015821954082148	6231	9.8586595885866	20	5477.3333333333
Hubei	I	50001	60000	0.0015060463330725	6157	9.2727272727273	17	5846
Quebec	I	50001	60000	0.002413515687852	6215	15	15	6215
TD1	I	50001	60000	0.001687552793691	6340	10.699084712001	45	6060.1481481481
TD2	I	50001	60000	0.0017730271479066	6207	11.005179507056	31	5811.2857142857
TD3	I	50001	60000	0.0021218654770308	5024	10.660252156603	20	4890.6666666667
KD	I	50001	60000	0.0030368959067749	5807	17.635254530642	57	5354.5
AD	I	50001	60000	0.0035896160544917	5879	21.103352784357	83	5098.0625
Tropical	I	50001	60000	0.0023265312342675	6340	14.750208025256	107	5904.5788423154
Temperate	I	50001	60000	0.00079554855253175	6332	5.0374134346311	21	5147.7142857143
TH	I	50001	60000	0.0019562186118939	6339	12.400469780795	69	5865.4105263158
NWD	I	60001	70000	0.00217686102595	8327	18.126721763085	47	8313.5
ID	I	60001	70000	0.0018934097943634	8327	15.766423357664	36	8325.3333333333
Hubei	I	60001	70000	0.0012336648580194	8327	10.272727272727	18	8317
Quebec	I	60001	70000	0.0020467132193595	8306	17	17	8306
TD1	I	60001	70000	0.00104776287705	8327	8.724721477195	39	8304
TD2	I	60001	70000	0.0013217036613569	8327	11.005826388119	35	8294.7142857143
TD3	I	60001	70000	0.0010518943302019	8327	8.7591240875912	20	8256.6666666667
KD	I	60001	70000	0.0023375676570703	8275	19.343372362257	67	8170.9
AD	I	60001	70000	0.0022149842340983	8309	18.404304001122	87	8142.59375
Tropical	I	60001	70000	0.0025359189909881	8327	21.116597437958	158	8300.0419161677
Temperate	I	60001	70000	0.00068637808380192	8327	5.7154703038186	26	8110.75
TH	I	60001	70000	0.0017867259852611	8308	14.84411948555	86	8189.1473684211
NWD	I	70001	80000	0.0018443085007304	8992	16.584022038567	43	8935
